HTX	hợp tác xã
đoume	đù má
thắngmạnh	thắng mạnh
mootj	một
tiếppp	tiếp
cẩuuu	cẩu
lươnggggg	lương
tiềnthì	tiền thì
bạnthật	bạn thật
ᕼơᑎ	hơn
tiếᑎg	tiếng
kᕼáᑕᕼ	khách
tᖇᑌᑎg	trung
ᑫᑌốᑕ	quốc
ᕼᗪ	hd
từᑎg	từng
ᑕọᑎg	cọng 
ᒪôᑎg	lông
ᗩᑎᕼ	anh
ᑕᒪiᑕk	click
ᑎᕼᗩ	nha
cầuthốngnhất	cầu thống nhất
hâhhahahahahahahaha	haha
vieclamnhatrang	việc làm nhatrang
nóibên	nói bên
saooooooo	sao 
đéll	đéo
đeeee	đê
trươtj	trượt
tròiii	trời
hóngggg	hóng
ngầmkhi	ngầm khi
cholúc	cho lúc 
lẻlàm	lẻ làm
trucotgiadinh	trụ cột gia đình
ᒪại	lại
rẻđồ	rẻ đồ
cayyyyyyyyyy	cay
maulanh	máu lạnh
nhàquên	nhà quên
rồiii	rồi
vớisamsungconngườilàsố1	với samsung con người là số 1
màyyyyyy	mày
häċk	hack
chxncn	cộng hòa xã hội chủ nghĩa
mìnhhhh	mình
thuaaa	thua
đumá	đù má
zaiiii	trai
ditmem	địt mẹ
tặngkèm	tặng kèm
disme	địt mẹ
đĩcái	đĩ cái
anhyêu	anh yêu
lunnnn	luôn
nóidc	nói được
hơnra	hơn ra
chứhãy	chứ hãy
khachhangthanyeu	khách hàng thân yêu
đcchơi	được chơi
tiềnkiếm	tiền kiếm
vlonn	vãi lồn
vàngđổi	vàng đổi
điiiiiiiiiiiiiii	đi
nhébọn	nhé bọn
viêtnamzi	việt nam
cuôicungf	cuối cùng
niceeee	nice
ạhhh	ạ
ᴍìɴʜ	mình
ᴄʜấᴛ	chất 
ᴄʟɪᴄᴋ	click
ᴛʜử	thử
gdcd	giáo dục công dân
chậu🥴🥴🥴	chậu
emmmmmm	em
đmmmm	địt mẹ
cuocsongantoan	cuộc sống an toàn
khônggg	không
cácờ	cá cờ
nàooooo	nào
ngonnnnn	ngon
vclllll	vãi cả lồn
rõ	rõ
xéooooo	xéo
đúmmedia	đụ má 
ngườinhưng	người nhưng
emmmm	em
viếtanh	viết nah
triếttt	triết
cò's	cò
ơi'ii	ơi
anhhh	anh
răngcảm	răng cảm
ngayhối	ngay hối
vìanh	vì anh
làgió	là gió
đumami	đụ má mi
rồicái	rồi cái
sói'i	sói 
cuteeee	cute
mìnhđào	mình đào
tếtcó	tết có
ơiiiiiiii	ơi
ᴍấᴛ	mất
ʟậᴘ	lập
ʟạɪ	lại
ᴍớɪ	mới
ǫᴜᴀ	qua
xinloiduocchua	xin lỗi được chưa
hayyyyy	hay
cóchiến	có chiến
nhậnđây	nhận đây
thôichứ	thôi chứ
ngườivào	người vào
bunglốp	bung lốp
cùngthơm	cùng thơm
xuânchỗ	xuân chỗ
ngầnlại	ngần lại
đmmdmmdmd	địt mẹ
matdayy	mất dạy
xonggg	xong
thèmmmm	thèm
dmhochiminh	dm hồ chí minh
ỉaaaaa	ỉa
mặtnạhoàngcung	mặt nạ hoàng cung
cámơn	cảm ơn
immemom	im mẹ mồm
tứclà	tức là
taoooo	tao
đâuu	đâu
khuyenmai	khuyến mại
thôinói	thôi nói
nguyênlý	nguyên lý
ơiidịch	ơi dịch
dàiib	dài
xĩuuuu	xĩu
bớtghi	bớt ghi
hếtthật	hết thật
kháctội	khác tôi
trâucửu	trâu cửu
vềthất	về thất
quêchấm	quê chấm
đờingũ	đời ngũ
trờilục	trời lục
anhyeu	anh yêu
dờiii	trời
ấyấy	ấy ấy
hahhahaah	haha
ċùnġ	cùng
ġáï	gái
ċäö	cao
kiàaaaaa	kìa
tuoitre	tuổi trẻ
đỉnhhhhhhhh	đỉnh
sᴀʟᴇ	sale
ᴛᴏàɴ	toàn
ᴄáᴄ	các
ʜãɴɢ	hãng
ɴɢᴀʏ	ngay
tiềnbây	tiên bây
đãaa	đã
lắmđừng	lắm đừng
rùiiii	rồi
ʜᴀᴄᴋ	hack
ᴄᴀᴍᴇʀᴀ	camera
ᴄủᴀ	của
ᴄʜồɴɢ	chồng
ᴛʀẻ	trẻ 
ʟàᴍ	làm
ᴛìɴʜ	tình
ᴘʜê	phê
condingheokho	con đĩ nghèo khổ
nèeee	nè
nhận	nhận
gọi	gọi
cáiii	cái
vàotrách	vào trách
cáivào	cái vào
hahaaaa	haha
kòi	còi
đấyanh	đấy anh
rửamặt	rửa mặt
vlll	vl
ạaaa	ạ
csản	cộng sản
ᴍᴏᴍ	mom
hiuhiu	haha
hmmm	hừm
ngkhac	người khác
vatoi	và tôi
hahahahaha	haha
bocphot	bóc phốt
cơmtừthiện	cơm từ thiện
điiiiii	đi
èooo	èo
vleu	vl
saoo	sao
chưởi	chửi
rungliệt	rung liệt
☎️zalo	zalo
kiatrao	kia trai
ahahha	haha
nhậnchúc	nhận chức
lạimà	lại mà
trasuathaixanh	trà sữa thái xanh
lanbài	lan bài
rểnghĩa	rể nghĩa
anninhthudo	an ninh thủ đô
chóshopee	chó shoppe
xắcccc	xắc
đoois	đối
nhaaaaaaaa	nha
miềnbị	miền bị
dânkhông	dân không
ménnnn	mén
quán's	quán
hoàngtư	hoàng tử
depsieunhe	dép siêu nhẹ
gáinói	gái nói
đuyy	đĩ
đccó	được có
raaaaa	ra
đâutrc	đâu trước
thổloại	thể loại
kimcuong	kim cương
thoiiiii	thôi
nooooo	no
hãng's	hãng
truấttttt	chất
chàiiiiia	trời
ơihttps	ơi
hơhơ	haha
cuuuuut	cứt
thôiiii	thôi
gkee	ghê
hottt	hot
xincamon	xin cảm ơn
yeahhhh	yeah
chấttttt	chất
dkkkkkmmmm	địt con mẹ
người😌	người
chuibiến	chui biến
tüổï	tuổi
đijt	địt
mêêêê	mê
chấmmmmm	chấm
xinloiem	xin lỗi em
kkkkkkkkkkkk	haha
đẹppppp	đẹp
hahahahahah	haha
đẹpchứ	đẹp chứ
adhóng	ad hóng
kinhchẳng	kinh chẳng
naymoiws	nay mới
ùimới	rồi mới
volang	vô lăng
ơicảm	ơi cảm
diiaaa	yeah
sangggggg	sang
huhukinh	huhu kinh
tươiii	tươi
đâuuu	đâu
rùiii	rồi
lềuuuuuuuuu	lồn
xechứ	xe chứ
tiềnbốc	tiền bốc
ơivề	ơi về
giaaan	gian
đihóng	đi hóng
lậậnnnha	lận nha
ranhanh	ra nhanh
tâmko	tâm không
khókkk	khóc
hơiiiiiiii	hơi
bạnnnnnn	bạn
ddaau	đâu
đjnk	đỉnh
dmmm	địt mẹ
lênnn	lên
đôgns	đống
vlozz	vãi lồn
hiểmcảnh	hiểm cảnh
bénhưng	bé nhưng
laptrinhvientv	lập trình viên
khongbanbenhungmaysedocduocthoi	không bạn bè nhưng mày sẽ đọc được thôi
hêhhehheh	he he he he
siêuuu	siêu
heeeee	ge
uhhh	huhu
nhaunhưng	nhau nhưng
nhiềutt	nhiều
kòy's	còi
rồithôi	rồi thôi
gohome	go home
lữaaaa	nữa
pleaseeee	please
luôngggggg	luôn
sắccc	sắc
dthuon	dễ thương
hônnnn	hôn
cầu	cầu
deeee	đê
côvit	covid
vllllllll	vl
màaaaaa	mà
ánnhh	ánh
'hãy	hãy
nào''	nào
đấylúc	đấy lúc
⚠️⚠️chuyên	chuyên
zuiiiiii	vui
kòyɞ	còi
đưpj	đẹp
yotuber	youtuber
cạaa	cạ
iuuuu	yêu
loonf	lồn
concu	con cu
nhỉhíhí	nhỉ haha
đaucó	đâu có
đouma	đù má
dungmeo	đừng mà
nhưvay	như vậy
tứcvà	tức và
kuku	huhu
xuất”em	xuất em
hâhhaa	haha
chứghét	chứ ghét
ấyđã	ấy đã
trungthứ	trung thứ
ảothứ	ảo thứ
xinratayrútluithôi	xin ra tay rút lui thôi
ahihimà	haha mà
kocho	không cho
hâhhaha	haha
huhuhuhuhu	huhu
thươngvongo	thương vong
đóchúng	đó chúng
tìnhnhư	tình như
daynha	đây nha
nguồncoppygari	nguồn coppy
cucuoithoimackedoi	cứ cười mặc kệ đời
batdau	bắt đầu
vaketthuc	và kết thúc
truoejt	trượt
giưỡng	dưỡng
zui	vui
con cho	con chó
ak	à
CA	công an
Douma	Đụ má
sz	size
pải	phải
Tđn	Thế đéo nào
Dkm	Đê ka mờ
dzui	đéo vui
cmnđ	con mẹ nó đi
Dcm	Địt con mẹ
Dmmm	Địt mẹ mày
qả	quả
gg	gờ gờ
Ditconme	Địt con mẹ
dell	đéo
DMM	Địt mẹ mày
lề	lồn
Mêêêê	Mê
tl	trả lời
ghanh	ganh
kkkkk	ka ka ka ka ka
Đkm	Địt con mẹ
zzl	vờ lờ
htrc	hôm trước
cít	cứt
chym	chim
Mn	Mọi người
inb	inbox
IB	Inbox
Tuk	tức
dzị	vậy
Chấttttt	chất
lol	lồn
cpi	chuẩn bị
FB	Facebook
K	Không
Đc	được
vll	vờ lờ
Đzai	đẹp trai
tks	thanks
Kg	không
inf	information
zị	vậy
kkkkkk	ka ka ka ka ka
VL	vờ lờ
mqh	mỗi quan hệ
trou	trâu
tauuu	tao
nik	nick
vâyh	vậy
bme	bố mẹ
Gr	Group
Xongg	Xong
bcuoi	buồn cười
uhm	ừm
uk	ừ
áh	á
vid	video
Tks	thanks
Mk	Mình
Hamlon	Hãm lồn
xog	xong
Xamf	Xàm
ah	à
DCMM	Địt con mẹ mày
Ct 	chia tay
àk	à
Clq	cái lồn què
Ns	Nói
gệ	ghệ
ibbox	inbox
póp	bóp
LOL	Lờ o lờ
Zui	vui
ze	vẻ
bnh	bao nhiêu
nguhaha	ngu haha
zời	giời
KQ	kết quả
wa	quá
hlv	huấn luyện viên
HLV 	Huấn luyện viên
ik	đi
ANM	An ninh mạng
ltuc	liên tục
đeck	đếch
